═══════════════════════════════════════════════════════════════════
  BASELINE BENCHMARK COMPLETE - SUMMARY
  Date: 2026-02-26
═══════════════════════════════════════════════════════════════════

## Win Rates

| Matchup | Time | Higher Win | Draw | Lower Win |
|---------|------|------------|------|-----------|
| Easy vs Braindead | bullet | 14 | 0 | 18 |
| Medium vs Braindead | bullet | 17 | 0 | 15 |
| Grandmaster vs Braindead | bullet | 25 | 0 | 7 |
| Hard vs Easy | bullet | 18 | 0 | 14 |
| Grandmaster vs Medium | bullet | 27 | 0 | 5 |
| Grandmaster vs Hard | bullet | 30 | 0 | 2 |
| Easy vs Braindead | blitz | 15 | 0 | 17 |
| Medium vs Braindead | blitz | 20 | 0 | 12 |
| Grandmaster vs Braindead | blitz | 26 | 0 | 6 |
| Hard vs Easy | blitz | 17 | 0 | 15 |
| Grandmaster vs Medium | blitz | 22 | 0 | 10 |
| Grandmaster vs Hard | blitz | 26 | 0 | 6 |

## Per-Matchup Statistics

### Move Count (Discrete - Mode meaningful)

| Matchup | Time | Mode | Median | Mean |
|---------|------|------|--------|------|
| Easy vs Braindead | bullet | 0 | 0.0 | 11.2 |
| Medium vs Braindead | bullet | 0 | 0.0 | 11.9 |
| Grandmaster vs Braindead | bullet | 0 | 0.0 | 12.5 |
| Hard vs Easy | bullet | 0 | 0.0 | 7.7 |
| Grandmaster vs Medium | bullet | 0 | 0.0 | 17.2 |
| Grandmaster vs Hard | bullet | 0 | 0.0 | 11.6 |
| Easy vs Braindead | blitz | 0 | 0.0 | 9.0 |
| Medium vs Braindead | blitz | 0 | 0.0 | 11.1 |
| Grandmaster vs Braindead | blitz | 0 | 0.0 | 6.8 |
| Hard vs Easy | blitz | 0 | 0.0 | 7.3 |
| Grandmaster vs Medium | blitz | 0 | 0.0 | 15.6 |
| Grandmaster vs Hard | blitz | 0 | 0.0 | 11.6 |

### Master Depth (Discrete - Mode meaningful)

| Matchup | Time | Mode | Median | Mean |
|---------|------|------|--------|------|
| Easy vs Braindead | bullet | 2 | 2.0 | 4.3 |
| Medium vs Braindead | bullet | 2 | 2.0 | 3.5 |
| Grandmaster vs Braindead | bullet | 1 | 1.0 | 2.9 |
| Hard vs Easy | bullet | 2 | 2.0 | 2.1 |
| Grandmaster vs Medium | bullet | 2 | 2.0 | 2.1 |
| Grandmaster vs Hard | bullet | 2 | 2.0 | 2.1 |
| Easy vs Braindead | blitz | 2 | 2.0 | 4.1 |
| Medium vs Braindead | blitz | 2 | 2.0 | 4.9 |
| Grandmaster vs Braindead | blitz | 1 | 1.0 | 2.2 |
| Hard vs Easy | blitz | 2 | 2.0 | 2.5 |
| Grandmaster vs Medium | blitz | 2 | 2.0 | 2.9 |
| Grandmaster vs Hard | blitz | 2 | 2.0 | 2.8 |

### FMC% (Discrete - Mode meaningful)

| Matchup | Time | Mode | Median | Mean |
|---------|------|------|--------|------|
| Easy vs Braindead | bullet | 0 | 79.0 | 57.8 |
| Medium vs Braindead | bullet | 0 | 40.0 | 46.8 |
| Grandmaster vs Braindead | bullet | 0 | 45.0 | 43.3 |
| Hard vs Easy | bullet | 0 | 1.0 | 31.3 |
| Grandmaster vs Medium | bullet | 0 | 0.0 | 27.9 |
| Grandmaster vs Hard | bullet | 0 | 31.0 | 41.8 |
| Easy vs Braindead | blitz | 0 | 59.0 | 52.9 |
| Medium vs Braindead | blitz | 99 | 91.0 | 70.9 |
| Grandmaster vs Braindead | blitz | 93 | 66.0 | 57.1 |
| Hard vs Easy | blitz | 0 | 33.0 | 40.9 |
| Grandmaster vs Medium | blitz | 0 | 71.0 | 57.1 |
| Grandmaster vs Hard | blitz | 0 | 83.0 | 63.7 |

### NPS (Continuous - Median/Mean only)

| Matchup | Time | Median | Mean |
|---------|------|--------|------|
| Easy vs Braindead | bullet | 86.7K | 279.7K |
| Medium vs Braindead | bullet | 91.0K | 210.3K |
| Grandmaster vs Braindead | bullet | 1.0K | 153.0K |
| Hard vs Easy | bullet | 87.5K | 91.4K |
| Grandmaster vs Medium | bullet | 57.7K | 64.0K |
| Grandmaster vs Hard | bullet | 75.3K | 77.3K |
| Easy vs Braindead | blitz | 81.0K | 251.1K |
| Medium vs Braindead | blitz | 121.2K | 293.6K |
| Grandmaster vs Braindead | blitz | 706 | 100.0K |
| Hard vs Easy | blitz | 100.3K | 100.9K |
| Grandmaster vs Medium | blitz | 72.1K | 77.1K |
| Grandmaster vs Hard | blitz | 83.2K | 87.2K |

### EBF (Continuous - Median/Mean only)

| Matchup | Time | Median | Mean |
|---------|------|--------|------|
| Easy vs Braindead | bullet | 2.5 | 2.4 |
| Medium vs Braindead | bullet | 2.5 | 2.2 |
| Grandmaster vs Braindead | bullet | 2.5 | 2.4 |
| Hard vs Easy | bullet | 2.5 | 2.5 |
| Grandmaster vs Medium | bullet | 2.5 | 2.5 |
| Grandmaster vs Hard | bullet | 2.5 | 2.5 |
| Easy vs Braindead | blitz | 2.5 | 2.4 |
| Medium vs Braindead | blitz | 2.5 | 2.4 |
| Grandmaster vs Braindead | blitz | 2.5 | 2.4 |
| Hard vs Easy | blitz | 2.5 | 2.5 |
| Grandmaster vs Medium | blitz | 2.5 | 2.5 |
| Grandmaster vs Hard | blitz | 2.5 | 2.5 |

### Helper Avg Depth (Continuous - Median/Mean only)

| Matchup | Time | Median | Mean |
|---------|------|--------|------|
| Easy vs Braindead | bullet | 0.0 | 0.9 |
| Medium vs Braindead | bullet | 0.0 | 1.0 |
| Grandmaster vs Braindead | bullet | 0.0 | 0.3 |
| Hard vs Easy | bullet | 1.5 | 1.7 |
| Grandmaster vs Medium | bullet | 1.7 | 1.4 |
| Grandmaster vs Hard | bullet | 1.5 | 1.5 |
| Easy vs Braindead | blitz | 0.0 | 1.2 |
| Medium vs Braindead | blitz | 0.0 | 1.4 |
| Grandmaster vs Braindead | blitz | 0.0 | 0.5 |
| Hard vs Easy | blitz | 1.5 | 2.0 |
| Grandmaster vs Medium | blitz | 1.7 | 2.2 |
| Grandmaster vs Hard | blitz | 1.8 | 2.2 |

### TT Hit Rate (%) (Continuous - Median/Mean only)

| Matchup | Time | Median | Mean |
|---------|------|--------|------|
| Easy vs Braindead | bullet | 0.0 | 9.3 |
| Medium vs Braindead | bullet | 0.0 | 11.9 |
| Grandmaster vs Braindead | bullet | 0.0 | 18.6 |
| Hard vs Easy | bullet | 4.3 | 15.0 |
| Grandmaster vs Medium | bullet | 8.9 | 23.6 |
| Grandmaster vs Hard | bullet | 25.2 | 34.3 |
| Easy vs Braindead | blitz | 0.0 | 10.2 |
| Medium vs Braindead | blitz | 0.0 | 17.1 |
| Grandmaster vs Braindead | blitz | 0.0 | 14.8 |
| Hard vs Easy | blitz | 8.4 | 24.7 |
| Grandmaster vs Medium | blitz | 27.3 | 39.9 |
| Grandmaster vs Hard | blitz | 31.2 | 42.7 |

### VCF Trigger Summary (Per Matchup)

| Matchup | Time | Total | Details |
|---------|------|-------|---------|
| Easy vs Braindead | bullet | 359 | G1M1(d0/n0), G1M2(d0/n0), G1M3(d0/n0), G1M4(d0/n0), G1M5(d0/n0) ... +354 more |
| Medium vs Braindead | bullet | 380 | G1M1(d0/n0), G1M2(d0/n0), G1M3(d0/n0), G1M4(d0/n0), G1M5(d0/n0) ... +375 more |
| Grandmaster vs Braindead | bullet | 399 | G1M1(d0/n0), G1M2(d0/n0), G1M3(d0/n0), G1M4(d0/n0), G1M5(d0/n0) ... +394 more |
