═══════════════════════════════════════════════════════════════════
  COMPREHENSIVE MATCHUP RUNNER: 180+2 Time Control
  20 games per matchup (alternating colors)
  Parallel: ON | Pondering: ON
═══════════════════════════════════════════════════════════════════

Standard matchups: 1
Experimental matchups: 0
Total matchups: 1
Total GamesPerMatchup: 20

═══════════════════════════════════════════════════════════════════
  STANDARD MATCHUPS
═══════════════════════════════════════════════════════════════════

┌─────────────────────────────────────────────────────────────────────┐
│ 1. Grandmaster vs Braindead                                             │
├─────────────────────────────────────────────────────────────────────┤
│ Time: 180+2 | Pondering:  ON | Parallel:  ON │
└─────────────────────────────────────────────────────────────────────┘

    G 1 M  1 | R(7,7) by Braindead    | T: 816ms  /73ms   | -    | Th: 1 | D2  | N: 507      | NPS: 635      | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 1 M  2 | B(8,8) by Grandmaster  | T: 6.0s   /7.1s   | -    | Th: 9 | D2  | N: 6.1M     | NPS: 1.0M     | TT: 96.0% | %M: 74.0% | HD: 2.0  | P: D3/1.4Mn/2.8Mnps          | VCF: -
    G 1 M  3 | R(10,15) by Braindead    | T: 1ms    /0ms    | Er   | Th: 1 | D1  | N: 1        | NPS: 1.0K     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 1 M  4 | B(5,8) by Grandmaster  | T: 7.6s   /8.4s   | -    | Th: 9 | D2  | N: 9.6M     | NPS: 1.3M     | TT: 97.9% | %M: 68.0% | HD: 1.5  | P: -                         | VCF: -
    G 1 M  5 | R(7,8) by Braindead    | T: 584ms  /158ms  | -    | Th: 1 | D2  | N: 826      | NPS: 1.4K     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 1 M  6 | B(13,13) by Grandmaster  | T: 9.3s   /9.3s   | -    | Th: 9 | D18 | N: 3.7M     | NPS: 400.1K   | TT: 72.4% | %M: 36.0% | HD: 10.0 | P: D6/6.9Mn/0nps             | VCF: -
    G 1 M  7 | R(7,1) by Braindead    | T: 0ms    /0ms    | Er   | Th: 1 | D1  | N: 1        | NPS: 0        | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 1 M  8 | B(9,9) by Grandmaster  | T: 9.7s   /9.7s   | -    | Th: 9 | D4  | N: 9.4M     | NPS: 975.2K   | TT: 94.2% | %M: 0.0%  | HD: 3.0  | P: -                         | VCF: -
    G 1 M  9 | R(7,6) by Braindead    | T: 479ms  /140ms  | -    | Th: 1 | D2  | N: 1.1K     | NPS: 2.3K     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 1 M 10 | B(7,5) by Grandmaster  | T: 77ms   /0ms    | Bl   | Th: 9 | D1  | N: 2        | NPS: 25       | TT: 94.2% | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 1 M 11 | R(7,9) by Braindead    | T: 227ms  /226ms  | -    | Th: 1 | D2  | N: 722      | NPS: 3.2K     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 1 M 12 | B(7,10) by Grandmaster  | T: 2ms    /0ms    | Bl   | Th: 9 | D1  | N: 1        | NPS: 500      | TT: 94.2% | %M: 0.0%  | HD: 0.0  | P: D1/27n/0nps               | VCF: -
    G 1 M 13 | R(6,9) by Braindead    | T: 3ms    /208ms  | -    | Th: 1 | D10 | N: 6.6K     | NPS: 3.3M     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 1 M 14 | B(8,7) by Grandmaster  | T: 7.9s   /12.2s  | -    | Th: 9 | D2  | N: 5.6M     | NPS: 704.8K   | TT: 0.4%  | %M: 5.0%  | HD: 1.5  | P: -                         | VCF: -
    G 1 M 15 | R(7,11) by Braindead    | T: 0ms    /0ms    | Er   | Th: 1 | D1  | N: 1        | NPS: 0        | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 1 M 16 | B(8,9) by Grandmaster  | T: 9.4s   /11.9s  | -    | Th: 9 | D2  | N: 4.1M     | NPS: 433.3K   | TT: 97.2% | %M: 55.0% | HD: 1.5  | P: D9/6.3Mn/0nps             | VCF: -
    G 1 M 17 | R(8,6) by Braindead    | T: 16ms   /196ms  | -    | Th: 1 | D10 | N: 6.7K     | NPS: 475.9K   | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 1 M 18 | B(6,11) by Grandmaster  | T: 9ms    /0ms    | Tc   | Th: 9 | D1  | N: 20       | NPS: 2.2K     | TT: 97.2% | %M: 0.0%  | HD: 0.0  | P: D1/21n/875nps             | VCF: -
    G 1 M 19 | R(12,10) by Braindead    | T: 1ms    /0ms    | Er   | Th: 1 | D1  | N: 1        | NPS: 1.0K     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 1 M 20 | B(5,12) by Grandmaster  | T: 66ms   /0ms    | Tc   | Th: 9 | D1  | N: 1        | NPS: 15       | TT: 97.2% | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 1 M 21 | R(4,13) by Braindead    | T: 4ms    /101ms  | Bl   | Th: 1 | D0  | N: 5        | NPS: 0        | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 1 M 22 | B(9,8) by Grandmaster  | T: 0ms    /0ms    | Wn   | Th: 9 | D1  | N: 1        | NPS: 0        | TT: 97.2% | %M: 0.0%  | HD: 0.0  | P: D1/24n/0nps               | VCF: -
    → Game 1: Grandmaster (Blue) wins on move 22 (52.0s)

    G 2 M  1 | R(7,7) by Grandmaster  | T: 1.8s   /2.7s   | -    | Th: 9 | D3  | N: 1.1M     | NPS: 612.8K   | TT: 1.7%  | %M: 0.0%  | HD: 2.5  | P: -                         | VCF: -
    G 2 M  2 | B(14,0) by Braindead    | T: 0ms    /0ms    | Er   | Th: 1 | D1  | N: 1        | NPS: 0        | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 2 M  3 | R(10,7) by Grandmaster  | T: 8.7s   /8.6s   | -    | Th: 9 | D2  | N: 3.4M     | NPS: 394.9K   | TT: 13.2% | %M: 0.0%  | HD: 1.8  | P: D3/2.5Mn/0nps             | VCF: -
    G 2 M  4 | B(10,8) by Braindead    | T: 201ms  /193ms  | -    | Th: 1 | D1  | N: 10       | NPS: 50       | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 2 M  5 | R(7,2) by Grandmaster  | T: 9.4s   /9.4s   | -    | Th: 9 | D4  | N: 3.7M     | NPS: 390.0K   | TT: 36.0% | %M: 34.0% | HD: 3.0  | P: -                         | VCF: -
    G 2 M  6 | B(9,8) by Braindead    | T: 225ms  /165ms  | -    | Th: 1 | D1  | N: 155      | NPS: 695      | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 2 M  7 | R(8,8) by Grandmaster  | T: 5.5s   /9.8s   | -    | Th: 9 | D2  | N: 2.5M     | NPS: 447.1K   | TT: 97.0% | %M: 63.0% | HD: 2.0  | P: D1/2.8Mn/0nps             | VCF: -
    G 2 M  8 | B(11,8) by Braindead    | T: 147ms  /145ms  | -    | Th: 1 | D2  | N: 942      | NPS: 6.5K     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 2 M  9 | R(6,6) by Grandmaster  | T: 0ms    /0ms    | Tc   | Th: 9 | D1  | N: 20       | NPS: 0        | TT: 97.0% | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
    G 2 M 10 | B(12,8) by Braindead    | T: 133ms  /130ms  | -    | Th: 1 | D2  | N: 437      | NPS: 3.4K     | TT: 0.0%  | %M: 0.0%  | HD: 0.0  | P: -                         | VCF: -
